course_code,mutually_exclusive
SP0061,CC0007
AB1201,BU5201
AB1501,BU5501
AB1601,BU5601
BE1401,BE1402
CC0007,SP0061
AC2101,BF2101
BE1402,BE1401
AB3601,AB3602
AB3602,AB3601
MA1008,BG2211
MA2001,CV1011
MA2004,MA2024
MA2024,MA2004
MH1811,MH1100
MA2072,MA2071
MA3072,MA3071
MA3705,MA3005
BG2112,CV1012
BG4341,CH4341
BS1001,CY1001
BS3202,CB4216
BS1012,CM1001
AD2102,AD2101
BE2601,BE2602
BE2602,BE2601
AB5602,BU5642
BE2502,BU5503
BE3201,ET5213
BH3604,BU5605
BL5304,AB5601
BF2201,BF2219
BF2206,BF2220
BF2209,BF2221
BF2213,BF2222
BF3201,BF3215
BF3204,BF3218
BF3207,BF3219
BC3405,BC3411
BC3409,BC3415
BC3411,BC3405
BC3415,BC3409
BT2403,BT2404
BT2404,BT2403
BF2101,AC2101
BF2214,BF2223
BF2219,BF2201
BF2220,BF2206
BF2221,BF2209
BF2222,BF2213
BF2223,BF2214
BF3202,BF3216
BF3215,BF3201
BF3216,BF3202
BF3217,BF3203
BF3218,BF3204
BF3219,BF3207
BH2601,BH2605
BH2603,BH2607
BH2605,BH2601
BH2607,BH2603
BH3603,BU5641
BU5641,BH3603
BF2226,BF2216
BF2227,BF2218
BF2216,BF2226
BM2501,BM2509
BM2502,BM2510
BM2503,BU5504
BM2505,BM2513
BM2506,BM2514
BM2507,BM2515
BM2508,BM2516
BM2509,BM2501
BM2510,BM2502
BM2513,BM2505
BM2514,BM2506
BM2515,BM2507
BM2516,BM2508
BM3506,BM3509
BM3509,BM3506
BR3210,BR3204
BR3211,BR3208
BR3204,BR3210
BR3208,BR3211
CH2103,CV1012
CH2107,BG2211
CH4341,BG4341
CE3001,CZ3001
CV1012,BG2112
SC1003,BG2211
SC2000,CE2100
CE2002,SC2002
CE2005,CZ2005
CE2006,CZ2006
SC2002,CE2002
SC2005,CE2005
SC2006,CE2006
SC2104,CE3002
CE3002,SC2104
CE3004,CZ3004
CE3005,CZ3006
CE3102,SC3102
CE4010,CZ4010
CE4041,CZ4041
CE4064,CZ4064
CE4069,CZ4069
CE4070,CZ4070
CE4153,CZ4153
SC2008,CE3005
SC3102,CE3102
CE4003,CZ4003
CE4016,CZ4016
CE4023,CZ4023
CE4031,CZ4031
CE4042,CZ4042
CE4045,CZ4045
CE4062,CZ4062
CM1001,BS1012
MH1802,CY1601
PS0001,BG2211
CM4017,PH4607
HL0201,HL5002
