course_code,prerequisites,group_id
LS5005,LS5004,prereq_group_0
AC1104,AC1103,prereq_group_1
AB0602,CC0001,prereq_group_2
AC2101,AC1104,prereq_group_3
AC2104,AC1104,prereq_group_4
AC2105,AC1104,prereq_group_5
AC2301,AD1102,prereq_group_6
AC2301,AD1101,prereq_group_7
AC2301,AC1103,prereq_group_8
AC2302,AB1301,prereq_group_9
AB3601,AB1501|AB1601,prereq_group_10
AB3602,AB1501|AB1601,prereq_group_11
AC3102,AC2101,prereq_group_12
AC3103,AC2101,prereq_group_13
DM3013,DM2007,prereq_group_14
DM3014,DM2007,prereq_group_15
DP3001,DP2005,prereq_group_16
DP3001,DP2006,prereq_group_17
DR3006,DR2004,prereq_group_18
DR3007,DR2005,prereq_group_19
DV3011,DV2004,prereq_group_20
HR2001,DD1003,prereq_group_21
HR2009,DD1003,prereq_group_22
HR2009,DD1004,prereq_group_23
DV3010,DV2005,prereq_group_24
DF2012,DF2005,prereq_group_25
DF2012,CS4024,prereq_group_26
DF3012,DF2000|DF2005,prereq_group_27
DF3013,DF2000,prereq_group_28
DP2006,DP5000,prereq_group_29
DP2006,DP2001,prereq_group_30
DP2006,DN1013,prereq_group_31
DP3000,DP2001,prereq_group_32
DP3000,DP5000,prereq_group_33
DP3010,DP2001,prereq_group_34
DP3010,DP5000,prereq_group_35
DT3010,DT2001,prereq_group_36
DT3010,DT2010,prereq_group_37
DT3010,DF2000,prereq_group_38
DT3010,DF2003,prereq_group_39
DT3013,DT2001,prereq_group_40
DT3017,DT2018,prereq_group_41
DT3017,DT3014,prereq_group_42
EE1102,PH1011,prereq_group_43
EE1102,PH1012,prereq_group_44
EE1102,CZ1113,prereq_group_45
EE1102,SC1013,prereq_group_46
MA1001,MH2810|PH1011,prereq_group_47
MA1001,MH1810|PH1011,prereq_group_48
MA1001,MH1810|PH1012,prereq_group_49
MA1001,MH2810|PH1012,prereq_group_50
MA0218,MA1008,prereq_group_51
MA2006,MH1810|MH1811,prereq_group_52
MA2006,CY1602,prereq_group_53
MA2006,MH2810,prereq_group_54
MA2007,MA2003,prereq_group_55
MA2701,MA1001|MA1700,prereq_group_56
