Course Code,Course Name,Academic Units,Faculty,BDE,Grade Type,Prerequisites,Mutually Exclusive,Course Information,Discipline
GC0001,SUSTAINABILITY: SEEING THROUGH THE HAZE,1,Asian School of the Environment,Yes,Pass/Fail,,,"The course wi ll discuss sustainability from perspectives of various disciplines, including humanities, business, policy, economics, and science. Students will learn about sustainability through a case study of oil palm plantation. The course will be composed of the following 6 modules. The course is supplemented by Module SI , which helps broadening students' perspectives on sustainability. Module I : General Introduction Module 2: The Global Seeding of Oil Palm Module 3: Recent Expansion of Oil Palm in South East Asia: How and Why did this happen? Module 4: How is Oil Palm Production Affecting Environment, Climate and Human Society? Module 5: Making Oil Palm More Sustainable Module 6: General Conclusions Module SI: National Geographic (Nat. Geo) talk",Environment Earth Systems
HW0001,INTRODUCTION TO ACADEMIC COMMUNICATION,0,Language and Communication Centre,Yes,Pass/Fail,,,"The course aims to support you in your academic writing and reading skills across a wide range of disciplines. This course will provide opportunities for you to read current event articles widely and critically. As a result, you will learn to evaluate opinions and formulate well-substantiated arguments.",Language and Communication
HY0001,ETHICS & MORAL REASONING,1,School of Humanities,Yes,Pass/Fail,,,"HY0001 will introduce students to three major ethical theories' utilitarianism, Kant's deontology, and virtue ethics. Then, four weeks will be devoted to teaching the ethical principles underlying academic integrity, research ethics, and intellectual property. Finally, students will discuss issues related to the ethics of environmental sustainability and conservation. All the while, students will be challenged apply the ethical theories learned to concrete moral problems, including world poverty, corporate accountability and whistleblowing, and workplace discrimination.",Philosophy
LS5005,SPANISH LANGUAGE LEVEL 5,3,Centre for Modern Languages,Yes,Letter Graded,[['LS9004']],,"This blended learning course, based on the flipped classroom model, introduces higher-level verb tenses (simple future, conditional and pluperfect) along with a wider range of vocabulary and grammatical structures. All these, together with a wide variety of idiomatic expressions, provide the foundation for an intermediate level in the Spanish language. In this course, you will practice the four skills of the language in an integrated manner through an action-oriented approach with the aim to develop your pragmatic, linguistic and sociocultural competencies at the B1 level according to the Common European Framework of Reference for Languages (CEFR). You will further explore Hispanic cultures and societies through a wider range of personal and social situations and contexts. You will also be encouraged to become a more self-directed learner and to be creative and critical. After completing this course, you will be ready to sit for the external official examination DELE B1 (Diploma de Espa?ol como Lengua Extranjera).",Languages
SP0061,SCIENCE & TECHNOLOGY FOR HUMANITY,3,University Scholars Programme,Yes,Letter Graded,,['CC0007'],"The course aims to inspire a long-lasting mindset of awareness, critical thinking, curiosity, and collaboration across disciplines through the lens of contemporary and near-future challenges for human communities in relation to scientific and technological innovations. Students will learn to perceive and analyze the potential benefits and costs of scientific/technological innovations and applications from different perspectives and on different scales. Students will then use these skills to identify real-life challenges and to propose solutions.",University Scholars Programme
AB0403,DECISION MAKING WITH PROGRAMMING & ANALYTICS,3,Nanyang Business School,Yes,Letter Graded,,"['AB8401', ' BC0401']","This is an introductory course designed for business or accountancy undergraduate students who have no programming background and are interested to learn how to manage data and conduct business analytics programmatically. It is oriented to enhance their technical skillset. The aim of this course is to provide a broad understanding on how to manage data, the process of preparing data for analysis, basics of analytics, and the means to communicate analytics outcome. This course will equip students with the ability to write customized solutions to inform business decision, integrate statistical libraries for data analysis, and construct visuals or reports for business understanding. This module will provide students with individual hands-on practices to hone their coding skills and opportunities to develop coding solutions in a team. We utilize Python language as the medium of learning because it is one of the most in-demand coding language and its user-friendly syntax is well suited for the beginner level. Students will utilise modern development tools to turn information into insights.",Business/Accountancy
AB1201,FINANCIAL MANAGEMENT,3,Nanyang Business School,Yes,Letter Graded,,"['BU5201', ' BU8201']","d Income Securities, Derivatives Securities, and International Financial Management.This course aims to provide business and accounting students with a broad understanding of all the important financial principles, concepts, and analytical tools. This is a first course in finance and is compulsory for all business and accounting students. For students intending to major in banking and finance, this course is an important foundation course in order to better prepare themselves for other advanced courses such as Advanced Corporate Finance, Financial Markets and Institutions, International Financial Management, Investments, Equity Securities, Fixed Income Securities, and Derivatives Securities.",Business/Accountancy
AB1202,STATISTICS & ANALYSIS,3,Nanyang Business School,Yes,Letter Graded,,"['CE1008', ' HE1004', ' MH1820']",This course introduces the concepts and methods of statistical inferences: the process of inferring unknowns under uncertainty. Students of this course will also learn programming skills in the R environment for basic statistical analyses. This course consists of three main sections. Section 1 covers elements of probability models. Section 2 covers the basic theories in statistical inferences. Section 3 introduces the basic of two powerful and widely used analytic tools: regression and simulation analysis. Each weekly topic will be supplemented with relevant computer applications in the R environment.,Business/Accountancy
AB1301,BUSINESS LAW,3,Nanyang Business School,Yes,Letter Graded,,['BU8301'],"The aim of this course is to provide students with the foundational and intellectual skills to navigate the legal aspects of business. Specifically, this course provides a solid foundation on the legal methodology and the main principles of law relating to business transactions. A number of topics will be discussed in this course ranging from the formation of contracts, terms of a contract, breach and termination of a contract, law of agency, business organisations and torts. At the completion of this course, students will gain foundational competencies in how commercial law and business practices inter-relate and often influence each other in shaping modern commerce and industry. Key legal topics will be explained and illustrated from a business perspective. At the completion of this course, students will also gain a deeper understanding of the legal issues impacting on businesses",Business/Accountancy
AB1403,INTERMEDIATE EXCEL,1,Nanyang Business School,Yes,Pass/Fail,,['AB1401'],"This course focuses on teaching introductory through intermediate techniques in Excel. No prior knowledge in programming or advanced math skills are necessary. Upon completion of the course, students will gain skills in Excel, data management and real-world problem solving.",Business/Accountancy
