course_code,prerequisites,group_id
AC1104,AC1103,prereq_group_0
AC2301,AD1102,prereq_group_1
AC2302,AB1301,prereq_group_2
AB3601,AB1501|AB1601,prereq_group_3
AB3602,AB1501|AB1601,prereq_group_4
AC3102,AC2101,prereq_group_5
AC3103,AC2101,prereq_group_6
DM3013,DM2007,prereq_group_7
DM3014,DM2007,prereq_group_8
DP3001,DP2005,prereq_group_9
DR3006,DR2004,prereq_group_10
DR3007,DR2005,prereq_group_11
DV3011,DV2004,prereq_group_12
HR2001,DD1003,prereq_group_13
HR2009,DD1003,prereq_group_14
DV3010,DV2005,prereq_group_15
DF2012,DF2005,prereq_group_16
DF3012,DF2000|DF2005,prereq_group_17
DF3013,DF2000,prereq_group_18
DT3010,DT2001,prereq_group_19
DT3013,DT2001,prereq_group_20
DT3017,DT2018,prereq_group_21
EE1102,PH1011,prereq_group_22
MA1001,MH2810|PH1011,prereq_group_23
MA0218,MA1008,prereq_group_24
MA2006,MH1810|MH1811,prereq_group_25
MA2007,MA2003,prereq_group_26
MA2701,MA1001|MA1700,prereq_group_27
MA3001,MA2001|MA2002|MA2005,prereq_group_28
MA3003,MA2007,prereq_group_29
MA3006,MA2003,prereq_group_30
MA3700,MA2001,prereq_group_31
MA3701,MA2003,prereq_group_32
MA3702,MA2007,prereq_group_33
MA3703,MA2701|MA3705,prereq_group_34
MA3705,MA2006,prereq_group_35
MA4002,MA3006,prereq_group_36
MA4701,MA3701|MA3702|MA3703,prereq_group_37
MA4702,MA2001|MA3700,prereq_group_38
MA4704,MA3700|MA3701,prereq_group_39
MA4705,MH1811,prereq_group_40
MA4804,MH1810,prereq_group_41
MA4814,MA3006|MH1811,prereq_group_42
MA4825,MA3001|MA3005,prereq_group_43
BG2112,CB1117,prereq_group_44
BG2211,MH1810,prereq_group_45
CH2010,MH1810,prereq_group_46
BG4102,BG3105,prereq_group_47
CH4244,CH2107,prereq_group_48
BS4010,BS1005,prereq_group_49
BS2101,BS1001,prereq_group_50
BS0004,BS1008|BS1009,prereq_group_51
BS2100,BS1100,prereq_group_52
BS2102,BS1101,prereq_group_53
BS2103,BS1101,prereq_group_54
BS3037,BS2002|BS2004,prereq_group_55
BS3331,BS2004,prereq_group_56
BS3342,BS1007,prereq_group_57
BS3350,BS1006,prereq_group_58
ES2304,BS1001,prereq_group_59
ES3302,AAB20D,prereq_group_60
ES4303,AAB20D,prereq_group_61
BS3001,BS2001,prereq_group_62
BS3003,BS2004,prereq_group_63
BS3004,BS2004,prereq_group_64
BS3018,BS2003,prereq_group_65
BS3101,BS1101,prereq_group_66
BS3103,BS1101|BS2103,prereq_group_67
BS3108,BS1101|BS2102|BS2103|BS2106,prereq_group_68
BS3202,BS1100|BS2100,prereq_group_69
BS3344,BS2020,prereq_group_70
BS4002,BS1007|BS2004,prereq_group_71
BS4015,BS1007,prereq_group_72
BS4017,BS1009,prereq_group_73
ES3307,BS1008|MH3511,prereq_group_74
BS2003,BS1005,prereq_group_75
BS4014,BS2003,prereq_group_76
HP2200,HP1000|HP1100,prereq_group_77
HP2500,HP1000|HP1100,prereq_group_78
HP3003,HP1000|HP1100|HP2600,prereq_group_79
HP3101,HP1000|HP1100|HP2100,prereq_group_80
HP3201,HP1000|HP1100|HP2100,prereq_group_81
HP3204,HP1000|HP1100,prereq_group_82
HP3205,HP1000|HP2100,prereq_group_83
HP3303,HP1000|HP1100|HP2300,prereq_group_84
HP3702,HP1000|HP1100|HP2300,prereq_group_85
HP3708,HP1000|HP1100,prereq_group_86
HP3901,HP1000|HP1100,prereq_group_87
HP4002,HP1000|HP1100,prereq_group_88
HP4063,HP1000|HP1100|HP2300,prereq_group_89
HP4102,HP1000|HP1100|HP2700,prereq_group_90
HP4103,HP1000|HP1100,prereq_group_91
HP4104,HP1000|HP1100|HP2700,prereq_group_92
HP4107,HP1000|HP1100,prereq_group_93
HP4242,HP1000|HP1100|HP2400,prereq_group_94
HP4261,HP1000|HP2600,prereq_group_95
HP4262,HP1000|HP1100,prereq_group_96
HP4274,HP1000|HP1100|HP2300,prereq_group_97
HP4281,HP1000|HP1100|HP2300,prereq_group_98
AD2101,AD1101,prereq_group_99
AD2102,AD1102,prereq_group_100
BA2203,AB1202,prereq_group_101
BE2601,AB1601,prereq_group_102
BE2602,AB1601,prereq_group_103
BA3201,BA2204,prereq_group_104
BA3202,AB1202|BA2203,prereq_group_105
BE2502,AB1501,prereq_group_106
BE3201,AB1201,prereq_group_107
BH3604,AB1601,prereq_group_108
BL5304,AB1301,prereq_group_109
BF2201,AB1201,prereq_group_110
BF2206,AB1201,prereq_group_111
BF2207,AB1201,prereq_group_112
BF2209,BF2201,prereq_group_113
BF2213,AB1201,prereq_group_114
BF3201,AB1201,prereq_group_115
BF3204,BF2201,prereq_group_116
BF3207,BF2201,prereq_group_117
BC3405,AB1202,prereq_group_118
BC3409,BC2406,prereq_group_119
BC3411,AB1202,prereq_group_120
BC3415,BC2406,prereq_group_121
BF2101,AB1201|AD1101,prereq_group_122
BF2214,AB1201,prereq_group_123
BF2219,AB1201,prereq_group_124
BF2220,AB1201,prereq_group_125
BF2221,BF2219,prereq_group_126
BF2222,AB1201,prereq_group_127
BF2223,AB1201,prereq_group_128
BF2224,AB1201,prereq_group_129
BF3202,AB1201|BF2201,prereq_group_130
BF3203,AB1201,prereq_group_131
BF3215,AB1201,prereq_group_132
BF3216,AB1201|BF2219,prereq_group_133
BF3217,AB1201,prereq_group_134
BF3218,BF2219,prereq_group_135
BF3219,BF2219,prereq_group_136
BH2601,AB1202|AB1601,prereq_group_137
BH2603,AB1202|AB1601,prereq_group_138
BH2605,AB1202|AB1601,prereq_group_139
BH2607,AB1202|AB1601,prereq_group_140
BH3601,AB1601|BH2601,prereq_group_141
BF3212,BF2216,prereq_group_142
BM2501,AB1501,prereq_group_143
BM2502,AB1202|AB1501,prereq_group_144
BM2503,AB1501,prereq_group_145
BM2505,AB1501,prereq_group_146
BM2506,AB1501,prereq_group_147
BM2507,AB1202,prereq_group_148
BM2509,AB1501,prereq_group_149
BM2510,AB1202|AB1501,prereq_group_150
BM2513,AB1501,prereq_group_151
BM2514,AB1501,prereq_group_152
BM2515,AB1202,prereq_group_153
BM3506,AB1501,prereq_group_154
BM3509,AB1501,prereq_group_155
BR2207,AB1202,prereq_group_156
BR3213,BR2210,prereq_group_157
CH2108,CH1104,prereq_group_158
CH2107,CB1117,prereq_group_159
CH4703,CH4702,prereq_group_160
CH3111,CH1104|CH2112|CH2114,prereq_group_161
SC1007,SC1003,prereq_group_162
SC2000,MH1810,prereq_group_163
CE2101,CE1107|MH1812,prereq_group_164
SC2001,MH1812|SC1007,prereq_group_165
SC2002,SC1003,prereq_group_166
SC2005,SC1006|SC1007,prereq_group_167
SC2104,SC1006,prereq_group_168
SC2107,SC1006,prereq_group_169
CE3102,CE1104,prereq_group_170
CE4064,CE2006,prereq_group_171
SC2008,SC1004|SC2000,prereq_group_172
SC3102,SC1004,prereq_group_173
CE4022,CE3005,prereq_group_174
CE4023,CE3005,prereq_group_175
CE4062,CE2005,prereq_group_176
CV0003,CV1014,prereq_group_177
CV2011,CV1011,prereq_group_178
CV2020,CV1012,prereq_group_179
MH2814,MH1810,prereq_group_180
CV3015,CV1012,prereq_group_181
CV4102,CV3012,prereq_group_182
CV4116,CV2020,prereq_group_183
CM3011,CM2021|CM2031,prereq_group_184
CM3021,CM2021,prereq_group_185
CM3031,CM2031,prereq_group_186
CM3041,CM2041,prereq_group_187
CM3062,CM2062,prereq_group_188
CM4062,CM2031,prereq_group_189
CM4012,CM3011|CM3021,prereq_group_190
CM4017,CM3041,prereq_group_191
CM4043,CM3041,prereq_group_192
CM4044,PS0001|PS0002,prereq_group_193
CM4063,CM3011,prereq_group_194
HA3010,HA1003,prereq_group_195
