,Course Code,Course Name,Academic Units,Faculty,BDE,Grade Type,Prerequisites,Mutually Exclusive,Course Information
0,BA2202,MATHEMATICS OF FINANCE,4.0 AU,NA,Yes,Letter Graded,,"BU9223, MH3513, MH4514","The aim of this course is to equip actuarial science students with the knowledge of the theory and practical applications of the mathematics of finance in the various aspects of actuarial work. Specifically, this course aim to cover topics listed in the IFoA 2019 Curriculum CM1: Section 2-3 and CM2: Section 1-3. Partial credits for exemptions of CM1 and CM2 modules will be given to completion of this course."
1,BA2203,STATISTICAL MODELLING,4.0 AU,NA,Yes,Letter Graded,AB1202,BR2201,"This course provides background knowledge in probability and statistics. In particular, it focuses on statistical modelling that is important in the study of actuarial science. The necessary concepts and techniques in statistics and probability as well as the development of underlying theory will be presented. In addition to theory and methods, students are also expected to master problem-solving skills. Students are also encouraged to use a statistical package such as MATLAB, SPSS or SAS."
2,BA3201,LIFE CONTINGENCIES & DEMOGRAPHY,4.0 AU,NA,Yes,Letter Graded,BA2204,,"This course builds on the knowledge of BA2202 Mathematics of Finance and BA2204 Models. The topics include assurances and annuities, prospective and retrospective reserves, mortality profit, joint life status, last survivor status, contingent assurances, reversionary annuities, multiple decrement models, pension funds, discounted emerging cost techniques and demography."
3,BA3202,ACTUARIAL STATISTICS,4.0 AU,NA,No,Letter Graded,AB1202 & BA2203 OR MH3500 & MH3511,,"This course covers some major areas of actuarial statistics, the application of probability theory and statistical methods to insurance problems. The topics covered include decision theory, loss distributions, risk models, ruin theory, reinsurance, experience rating, run-off triangles, time series models, generalized linear models, and simulation methods."
4,BF2100,ETHICS IN THE INVESTMENT PROFESSION,1.0 AU,NA,Yes,Pass/Fail,,,"The fairness and transparency is necessary for financial market to be efficient. This should not only be guaranteed by laws and regulations. Practitioners in the industry should comply necessary ethical foundation to make sure that the financial system is functioning well. Individuals with unethical behaviors damage investor trust and impair the capital markets as a whole. Unethical behaviors also have serious personal consequences on individuals themselves, this may range from job loss and reputational damage to fines and jails. This aim of this course is to train students with the basic understanding of the CFA Ethics code. It seeks to increase students? awareness of business ethics and improve their willingness to comply it. It will help students with their future career and contribute to the society. Moreover, it is also a component of the CFA exams. All NBS students with a Banking and Finance (BAF) specialization must complete a CFA Ethics course prior to graduation."
5,BF2201,INVESTMENTS,4.0 AU,NA,No,Letter Graded,AB1201 OR BU8201 (Min Grade :B+) OR RE8005 OR BU5201 (Min Grade :B+),"BF2219, BU5202, BU9201, BU9202","This is an introductory but demanding course in investments. This course endeavours to provide the basic understanding and tools to conduct portfolio analysis, make investment decisions, and manage portfolios. By the end of this course, students should have a broad understanding of investments and portfolio management. This course covers the analysis of various investment vehicles, allocation of assets, and modern portfolio theory. Students will learn valuation, portfolio construction and evaluation techniques, and apply investment techniques using Excel. Students are expected to review Financial Management. To maximize acquisition of new knowledge, the instructors will not cover overlapping topics with Financial Management, but these topics remain examinable."
6,BF2206,WEALTH MANAGEMENT,4.0 AU,NA,No,Letter Graded,AB1201 OR BU8201 (Min Grade :B+) OR BU5201 (Min Grade :B+),BF2220,"This course provides an intermediate study on the subject of wealth management and contemporary personal financial management. Students will learn and experience current macroeconomic analysis and its application. The course will touch on more complex wealth management topics such as trusts, estate planning and private banking. By the end of the course, students will be technically competent to put together their own personal financial plan. Students looking to a career in Wealth Management/Private Banking will find the knowledges and frameworks taught to be immediately applicable."
7,BF2207,INTERNATIONAL FINANCE,4.0 AU,NA,No,Letter Graded,AB1201 OR RE8005 OR BU8201 (Min Grade :B+) OR BU5201 (Min Grade :B+),"BF2204, BU9203",This course is an introduction to international finance. The course serves to equip students with the ability to analyse and make managerial decisions in the context of a multinational firm.
8,BF2209,DERIVATIVE SECURITIES,4.0 AU,NA,No,Letter Graded,BF2201,"BF2221, BR2204, BR2210","This course is an introductory course on financial derivatives and derivatives-linked investments. The derivatives covered include forwards, futures, swaps, and options on different underlying assets like stocks, stock indices, commodities, and foreign exchange. Through this course, students will learn the features of various derivatives and how to price, value (calculate the Profit/Loss) and structure them for investment and risk management. Students will also learn basic and slightly more advance option strategies and how to use them for hedging and trading. They will be able to design arbitrage strategies to take advantage of mispricing in various derivatives. A good understanding of derivatives and its usage/abuses is a prerequisite for effective management of any company as financial risks can cause substantial damage to the P/L of an otherwise well managed firm. Graduates with solid grounding in derivative investments can take up careers as traders, derivatives specialists/advisors, derivatives sales experts, financial engineers and risk managers in treasury departments, trading floors, asset management and risk management divisions in banks and major corporates. On an individual level, understanding of derivatives will help one to appreciate the risk and rewards in the many derivatives-linked investments now increasingly made available to retail investors."
9,BF2213,INTRODUCTION TO COMPLIANCE,4.0 AU,NA,No,Letter Graded,AB1201 OR BU8201 (Min Grade :B+) OR BU5201 (Min Grade :B+),BF2222,"This course aims to provide you with a broad understanding of the role of compliance in financial institutions and introduce you to the common issues in the space of regulatory and financial compliance. Course topics include understanding the financial services sector, the role of compliance within financial institutions, the financial regulatory environment and requirements, compliance risks, anti-money laundering risks, and the importance of well-designed and effective control mechanisms. The course will also explore the impact of financial technology (FINTech) and regulatory technology (REGTech) advancements on the compliance landscape. This course is accredited by the Institute of Banking and Finance (IBF) and students who obtain an overall score of B and above will be accredited for IBF's Level 1 Compliance Standards."
10,BF3201,CORPORATE FINANCE & STRATEGY,4.0 AU,NA,No,Letter Graded,AB1201 OR RE8005 OR BU8201 (Min Grade :B+) OR BU5201 (Min Grade :B+),BF3215,"The course covers fundamental issues of corporate finance, including corporate governance, capital budgeting, capital structure, distribution policies, and working capital management. The course emphasizes financial practices in the real world. The course expands upon the concepts covered in AB1201 Financial Management. We emphasize using EXCEL to conduct computation. The background knowledge is provided through the textbook and lecture notes. By the end of the course, you should have developed a deeper understanding of how corporate financial managers make decisions in the dynamic corporate world and how these decisions impact firm value and stakeholders. The course is intended for students who are interested in pursuing a career in strategic financial decision making, including corporate finance, investment banking, private equity, consulting, etc."
11,BF3204,FINANCIAL MODELLING,4.0 AU,NA,No,Letter Graded,BF2201,BF3218,"This course reviews, advances, and applies the principles taught in prior introductory courses in finance. It takes a hands-on approach and provides students with ample opportunities to apply numerical and statistical analysis, table and graphical presentations, and database analysis. It exclusively uses MS Excel as a main tool for computing and analysis. After the completion of the course, you should be equipped with a strong foundation of finance and quantitative skills. The course benefits students who wish to become a quantitative financial analyst."
12,BF3207,ALTERNATIVE INVESTMENTS,4.0 AU,NA,No,Letter Graded,BF2201,BF3219,"Alternative investments include a wide variety of assets which include hedge funds, private equity, real estate, and commodities. We will start with a review of relevant subjects, such as statistics and portfolio theory. Afterwards, we will go over the various asset classes, focusing on hedge funds, private equity, and real estate. We will consider investment strategies, management structure, and performance measurement. If time permits, we will also discuss more unconventional assets."
13,BF2206,WEALTH MANAGEMENT,4.0 AU,NA,No,Letter Graded,AB1201 OR BU8201 (Min Grade :B+) OR BU5201 (Min Grade :B+),BF2220,"This course provides an intermediate study on the subject of wealth management and contemporary personal financial management. Students will learn and experience current macroeconomic analysis and its application. The course will touch on more complex wealth management topics such as trusts, estate planning and private banking. By the end of the course, students will be technically competent to put together their own personal financial plan. Students looking to a career in Wealth Management/Private Banking will find the knowledges and frameworks taught to be immediately applicable."
14,BF2207,INTERNATIONAL FINANCE,4.0 AU,NA,No,Letter Graded,AB1201 OR RE8005 OR BU8201 (Min Grade :B+) OR BU5201 (Min Grade :B+),"BF2204, BU9203",This course is an introduction to international finance. The course serves to equip students with the ability to analyse and make managerial decisions in the context of a multinational firm.
15,BF2209,DERIVATIVE SECURITIES,4.0 AU,NA,No,Letter Graded,BF2201,"BF2221, BR2204, BR2210","This course is an introductory course on financial derivatives and derivatives-linked investments. The derivatives covered include forwards, futures, swaps, and options on different underlying assets like stocks, stock indices, commodities, and foreign exchange. Through this course, students will learn the features of various derivatives and how to price, value (calculate the Profit/Loss) and structure them for investment and risk management. Students will also learn basic and slightly more advance option strategies and how to use them for hedging and trading. They will be able to design arbitrage strategies to take advantage of mispricing in various derivatives. A good understanding of derivatives and its usage/abuses is a prerequisite for effective management of any company as financial risks can cause substantial damage to the P/L of an otherwise well managed firm. Graduates with solid grounding in derivative investments can take up careers as traders, derivatives specialists/advisors, derivatives sales experts, financial engineers and risk managers in treasury departments, trading floors, asset management and risk management divisions in banks and major corporates. On an individual level, understanding of derivatives will help one to appreciate the risk and rewards in the many derivatives-linked investments now increasingly made available to retail investors."
16,BF2213,INTRODUCTION TO COMPLIANCE,4.0 AU,NA,No,Letter Graded,AB1201 OR BU8201 (Min Grade :B+) OR BU5201 (Min Grade :B+),BF2222,"This course aims to provide you with a broad understanding of the role of compliance in financial institutions and introduce you to the common issues in the space of regulatory and financial compliance. Course topics include understanding the financial services sector, the role of compliance within financial institutions, the financial regulatory environment and requirements, compliance risks, anti-money laundering risks, and the importance of well-designed and effective control mechanisms. The course will also explore the impact of financial technology (FINTech) and regulatory technology (REGTech) advancements on the compliance landscape. This course is accredited by the Institute of Banking and Finance (IBF) and students who obtain an overall score of B and above will be accredited for IBF's Level 1 Compliance Standards."
17,BF3201,CORPORATE FINANCE & STRATEGY,4.0 AU,NA,No,Letter Graded,AB1201 OR RE8005 OR BU8201 (Min Grade :B+) OR BU5201 (Min Grade :B+),BF3215,"The course covers fundamental issues of corporate finance, including corporate governance, capital budgeting, capital structure, distribution policies, and working capital management. The course emphasizes financial practices in the real world. The course expands upon the concepts covered in AB1201 Financial Management. We emphasize using EXCEL to conduct computation. The background knowledge is provided through the textbook and lecture notes. By the end of the course, you should have developed a deeper understanding of how corporate financial managers make decisions in the dynamic corporate world and how these decisions impact firm value and stakeholders. The course is intended for students who are interested in pursuing a career in strategic financial decision making, including corporate finance, investment banking, private equity, consulting, etc."
18,BF3204,FINANCIAL MODELLING,4.0 AU,NA,No,Letter Graded,BF2201,BF3218,"This course reviews, advances, and applies the principles taught in prior introductory courses in finance. It takes a hands-on approach and provides students with ample opportunities to apply numerical and statistical analysis, table and graphical presentations, and database analysis. It exclusively uses MS Excel as a main tool for computing and analysis. After the completion of the course, you should be equipped with a strong foundation of finance and quantitative skills. The course benefits students who wish to become a quantitative financial analyst."
19,BF3207,ALTERNATIVE INVESTMENTS,4.0 AU,NA,No,Letter Graded,BF2201,BF3219,"Alternative investments include a wide variety of assets which include hedge funds, private equity, real estate, and commodities. We will start with a review of relevant subjects, such as statistics and portfolio theory. Afterwards, we will go over the various asset classes, focusing on hedge funds, private equity, and real estate. We will consider investment strategies, management structure, and performance measurement. If time permits, we will also discuss more unconventional assets."
20,BF2207,INTERNATIONAL FINANCE,4.0 AU,NA,No,Letter Graded,AB1201 OR RE8005 OR BU8201 (Min Grade :B+) OR BU5201 (Min Grade :B+),"BF2204, BU9203",This course is an introduction to international finance. The course serves to equip students with the ability to analyse and make managerial decisions in the context of a multinational firm.
21,BF2209,DERIVATIVE SECURITIES,4.0 AU,NA,No,Letter Graded,BF2201,"BF2221, BR2204, BR2210","This course is an introductory course on financial derivatives and derivatives-linked investments. The derivatives covered include forwards, futures, swaps, and options on different underlying assets like stocks, stock indices, commodities, and foreign exchange. Through this course, students will learn the features of various derivatives and how to price, value (calculate the Profit/Loss) and structure them for investment and risk management. Students will also learn basic and slightly more advance option strategies and how to use them for hedging and trading. They will be able to design arbitrage strategies to take advantage of mispricing in various derivatives. A good understanding of derivatives and its usage/abuses is a prerequisite for effective management of any company as financial risks can cause substantial damage to the P/L of an otherwise well managed firm. Graduates with solid grounding in derivative investments can take up careers as traders, derivatives specialists/advisors, derivatives sales experts, financial engineers and risk managers in treasury departments, trading floors, asset management and risk management divisions in banks and major corporates. On an individual level, understanding of derivatives will help one to appreciate the risk and rewards in the many derivatives-linked investments now increasingly made available to retail investors."
22,BF2213,INTRODUCTION TO COMPLIANCE,4.0 AU,NA,No,Letter Graded,AB1201 OR BU8201 (Min Grade :B+) OR BU5201 (Min Grade :B+),BF2222,"This course aims to provide you with a broad understanding of the role of compliance in financial institutions and introduce you to the common issues in the space of regulatory and financial compliance. Course topics include understanding the financial services sector, the role of compliance within financial institutions, the financial regulatory environment and requirements, compliance risks, anti-money laundering risks, and the importance of well-designed and effective control mechanisms. The course will also explore the impact of financial technology (FINTech) and regulatory technology (REGTech) advancements on the compliance landscape. This course is accredited by the Institute of Banking and Finance (IBF) and students who obtain an overall score of B and above will be accredited for IBF's Level 1 Compliance Standards."
