,Course Code,Course Name,Academic Units,Faculty,BDE,Grade Type,Prerequisites,Mutually Exclusive,Course Information
0,DD1004,INTRODUCTION TO THE HISTORIES OF ART II: ASIAN ART HISTORY,3.0,ADM,Yes,Letter Graded,DD1003,,"This intensive, one-semester lecture course aims to provide you with a foundational understanding of Asian art histories (content and methods) alongside foundational level academic writing, reading, presentation, and research skills."
1,DF2005,WRITING FOR FILM,3.0,ADM,Yes,Letter Graded,,,"This course is designed to introduce you to fiction film screenwriting. It covers the professional practice of developing, writing and rewriting short film scripts in a collaborative, workshop environment. Upon completing this course, you will have significantly developed your practice in preparation for future screenwriting projects."
2,DF2006,ETHNOGRAPHIC FILM,3.0,ADM,Yes,Letter Graded,,,"This foundation level course aims to introduce you to the historic developments and discussions in relation to ethnographic film and visual anthropology. It will give you a solid understanding of a continuously evolving debates that have significantly changed our understanding of this specific field of filmmaking. The seminar will introduce you to key texts and films that have influenced the discussion. In this way, this module offers to you a solid foundation for further studies in diverse fields like for example film, visual media, ethnography, social studies or anthropology."
3,HL2007,CONTEMPORARY LITERATURE & CULTURE,3.0,ELH(SOH),Yes,Letter Graded,HL1001,,"This subject seeks to investigate various fictional images of an oft-tumultuous contemporary world from the mid twentieth century to the present. The contemporary is multi-faceted and represents a truly cosmopolitan series of landscapes and contemporary authors are alert to the strains of contemporary music, influenced by film and television, conscious of the prevalence of visual imagery. Many contemporary authors engage with the relativisation of various kinds of values and we will closely consider the ways in which this tendency continually resurfaces."
4,HL2015,WAR IN LITERATURE & FILM,3.0,ELH(SOH),Yes,Letter Graded,HL1001,,"This course considers the manner in which art responds to war, and the ways in which war and violence are appropriated in both aesthetic and critical discourse. We will examine the centrality of war to human and civilisational experience, and also consider the conditions of inevitability that bind human experience to a deep-seated violent impulse. Issues raised by this course include, but are not confined to: the structural constitution of war the differences and similarities between war and violence the inherent ambivalence of war semantics, rhetorics and discourse of war artistic expression of war experience as ambiguating gesture Just War or just war? visual vs textual representations"
5,HL3003,FILM & LITERATURE,3.0,ELH(SOH),Yes,Letter Graded,HL1001 OR FL8001 (Min Grade :B),,"This course is about more than just literature adaptations. In what ways, we shall ask, are texts transformed from one genre to another? If turning a book into a film is perhaps the most obvious form of what we understand under adaptation and what we conceive of as the most often expected link between literature and film, how do films impact on how we read? In this module, we shall critically analyse the shifting,ambiguous, and yet creative, two-way relationship between film and literature. This course investigates the shifting, ambiguous, and creative two-way relationship between film and literature. You will learn to analyze film adaptations and assess their impact on the reception of the source texts. It develops your skills in close reading, trains you in the theory and practice of adaptation, and enhances your knowledge and understanding of genre. Please refer to the planned weekly schedule for a specific list of topics."
6,HL3036,THE HISTORY OF THE BOOK,3.0,ELH(SOH),Yes,Letter Graded,HL1001,,"In The History of the Book you will explore the impact of the book as an object and a technology, from medieval manuscripts to e-readers. You will examine examples of books from different periods, both to understand how book production changed over time and to explore broader questions about the nature of texts, their reception, and their associated communities and contexts. By learning how books were made and used, you will gain a clearer appreciation of how culture was shaped by the development of books, and how it shaped the development of books in turn. The archival and research skills you learn during this course will serve you in future research projects. This course explores the influence of the book as a force in history and literature from the medieval period to the present. It will include hands-on examination of books and manuscript fragments as well as discussion of books as objects, social forces, and vehicles for text."
7,HL3044,THE LEGENDS OF KING ARTHUR,3.0,ELH(SOH),Yes,Letter Graded,HL1001,,"Who was King Arthur, and how did he evolve into the household name that he is today? Where did the legends of his knights originate, and how did they develop over time? How widespread were the Arthurian legends across medieval Europe, and what made them so appealing to authors of English literature in more recent centuries? These are some of the questions to be explored on this module, which surveys the long development of several of the major narratives involving King Arthur and his knights, stretching from their medieval origins to modern literary adaptations. The first half of the module focusses on medieval texts, all of which will be studied in translation. You will gain an understanding of the generic, stylistic and thematic individuality of these medieval texts, as well as an awareness of the ways in which each text reflects the composer's explorations of the fundamental moral questions underpinning themes such as chivalric heroism and romantic love. The second half of the module turns towards modern reception, and here you will explore the changing significance and reimaginations of the Arthurian tradition in the nearer past. As Arthurian adaptations and reinventions continue to be produced and to occupy the public consciousness in the twenty-first century, this module seeks to offer you a sense of the enduring qualities of the legends of the `once and future king'."
8,HL4009,POPULAR LITERATURE & CULTURE,4.0,ELH(SOH),Yes,Letter Graded,HL1001,,
9,HL4041,STUDIES IN ART CRITICISM & CULTURE,4.0,ELH(SOH),Yes,Letter Graded,HL1001,,You will learn about the historical origins of art criticism and art history. You will gain an understanding of the conceptual and theoretical issues raised in the course and will develop appropriate analytical skills in the process. You will gain an understanding of key schools of thought and philosophy in art criticism and their relationship(s) to important movements and trends in art history. You will develop your own critical approach to writing about art.
